,display_name,name,start_date,end_date,type
000578.XSHE,盐湖集团,YHJT,1995-03-03,2011-03-22,stock
000581.XSHE,威孚高科,WFGK,1998-09-24,2200-01-01,stock
000582.XSHE,北部湾港,BBWG,1995-11-02,2200-01-01,stock
000583.XSHE,S*ST托普,S*STTP,1995-11-01,2007-05-21,stock
000584.XSHE,哈工智能,HGZN,1995-11-28,2200-01-01,stock
000585.XSHE,ST东电,STDD,1995-12-13,2200-01-01,stock
000586.XSHE,汇源通信,HYTX,1995-12-20,2200-01-01,stock
000587.XSHE,金洲慈航,JZCH,1996-04-25,2200-01-01,stock
000589.XSHE,贵州轮胎,GZLT,1996-03-08,2200-01-01,stock
000590.XSHE,启迪古汉,QDGH,1996-01-19,2200-01-01,stock
000591.XSHE,太阳能,TYN,1996-02-08,2200-01-01,stock
000592.XSHE,平潭发展,PTFZ,1996-03-27,2200-01-01,stock
000593.XSHE,大通燃气,DTRQ,1996-03-12,2200-01-01,stock
000594.XSHE,国恒退,GHT,1996-03-20,2015-07-13,stock
000595.XSHE,宝塔实业,BTSY,1996-04-19,2200-01-01,stock
000596.XSHE,古井贡酒,GJGJ,1996-09-27,2200-01-01,stock
000597.XSHE,东北制药,DBZY,1996-05-23,2200-01-01,stock
000598.XSHE,兴蓉环境,XRHJ,1996-05-29,2200-01-01,stock
000599.XSHE,青岛双星,QDSX,1996-04-30,2200-01-01,stock
000600.XSHE,建投能源,JTNY,1996-06-06,2200-01-01,stock
000601.XSHE,韶能股份,SNGF,1996-08-30,2200-01-01,stock
000602.XSHE,金马退市,JMTS,1996-08-19,2013-08-14,stock
000603.XSHE,盛达矿业,SDKY,1996-08-23,2200-01-01,stock
000605.XSHE,渤海股份,BHGF,1996-09-13,2200-01-01,stock
000606.XSHE,顺利办,SLB,1996-10-04,2200-01-01,stock
000607.XSHE,华媒控股,HMKG,1996-08-30,2200-01-01,stock
000608.XSHE,阳光股份,YGGF,1996-09-19,2200-01-01,stock
000609.XSHE,中迪投资,ZDTZ,1996-10-10,2200-01-01,stock
000610.XSHE,西安旅游,XALY,1996-09-26,2200-01-01,stock
000611.XSHE,*ST天首,*STTS,1996-10-08,2200-01-01,stock
000612.XSHE,焦作万方,JZWF,1996-09-26,2200-01-01,stock
000613.XSHE,大东海A,DDHA,1997-01-28,2200-01-01,stock
